al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,2.0439E+06,2.0103E+06,3.7687E+03,2.9826E+04
1.0000E-01,1.0662E+06,1.0479E+06,2.1378E+03,1.6168E+04
2.0000E-01,4.1331E+05,4.0361E+05,1.0097E+03,8.6857E+03
3.0000E-01,1.8984E+05,1.8312E+05,5.6909E+02,6.1500E+03
4.0000E-01,9.8034E+04,9.2721E+04,3.6061E+02,4.9524E+03
5.0000E-01,5.5054E+04,5.0571E+04,2.5079E+02,4.2327E+03
6.0000E-01,3.3813E+04,2.9893E+04,1.8764E+02,3.7318E+03
8.0000E-01,1.7261E+04,1.4054E+04,1.2272E+02,3.0848E+03
1.0000E+00,1.1296E+04,8.5187E+03,9.1748E+01,2.6857E+03
1.5000E+00,6.0081E+03,3.7735E+03,5.8419E+01,2.1762E+03
2.0000E+00,4.1726E+03,2.2117E+03,4.3799E+01,1.9171E+03
2.5000E+00,3.2065E+03,1.4293E+03,3.5298E+01,1.7419E+03
3.0000E+00,2.5922E+03,9.4458E+02,2.9764E+01,1.6179E+03
4.0000E+00,1.9032E+03,4.1885E+02,2.2860E+01,1.4615E+03
5.0000E+00,1.5348E+03,1.6891E+02,1.8637E+01,1.3472E+03
6.0000E+00,1.3499E+03,6.2035E+01,1.5784E+01,1.2721E+03
7.0000E+00,1.2429E+03,2.2938E+01,1.3734E+01,1.2062E+03
8.0000E+00,1.1742E+03,8.5193E+00,1.2188E+01,1.1535E+03
9.0000E+00,1.1202E+03,3.0908E+00,1.0988E+01,1.1061E+03
1.0000E+01,1.0750E+03,1.0518E+00,1.0027E+01,1.0639E+03
1.2000E+01,1.0098E+03,9.1446E-02,8.5706E+00,1.0011E+03
1.4000E+01,9.3836E+02,1.8480E-03,7.5142E+00,9.3084E+02
1.6000E+01,8.8345E+02,1.4497E-05,6.7014E+00,8.7675E+02
1.8000E+01,8.2894E+02,1.3188E-07,6.0335E+00,8.2290E+02
2.0000E+01,7.8165E+02,0.0000E+00,5.4800E+00,7.7617E+02
