al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.4119E+06,1.3918E+06,2.6432E+03,1.7467E+04
1.0000E-01,7.6001E+05,7.4975E+05,1.5787E+03,8.6830E+03
2.0000E-01,3.4029E+05,3.3506E+05,8.4005E+02,4.3843E+03
3.0000E-01,1.8993E+05,1.8634E+05,5.3942E+02,3.0507E+03
4.0000E-01,1.2176E+05,1.1893E+05,3.8476E+02,2.4459E+03
5.0000E-01,8.5292E+04,8.2904E+04,2.9636E+02,2.0913E+03
6.0000E-01,6.3956E+04,6.1870E+04,2.4106E+02,1.8453E+03
8.0000E-01,4.1869E+04,4.0165E+04,1.7652E+02,1.5277E+03
1.0000E+00,3.0554E+04,2.9081E+04,1.4048E+02,1.3323E+03
1.5000E+00,1.6999E+04,1.5821E+04,9.3352E+01,1.0851E+03
2.0000E+00,1.0714E+04,9.6846E+03,6.9196E+01,9.6033E+02
2.5000E+00,7.0804E+03,6.1501E+03,5.4393E+01,8.7589E+02
3.0000E+00,4.8049E+03,3.9443E+03,4.4729E+01,8.1590E+02
4.0000E+00,2.4410E+03,1.6681E+03,3.3069E+01,7.3986E+02
5.0000E+00,1.4008E+03,6.9083E+02,2.6306E+01,6.8366E+02
6.0000E+00,9.3955E+02,2.7100E+02,2.2007E+01,6.4654E+02
7.0000E+00,7.3471E+02,1.0190E+02,1.9048E+01,6.1376E+02
8.0000E+00,6.4049E+02,3.6177E+01,1.6893E+01,5.8742E+02
9.0000E+00,5.9108E+02,1.2138E+01,1.5297E+01,5.6365E+02
1.0000E+01,5.6028E+02,3.8351E+00,1.4063E+01,5.4238E+02
1.2000E+01,5.2313E+02,2.9219E-01,1.2255E+01,5.1058E+02
1.4000E+01,4.8591E+02,7.1651E-03,1.1000E+01,4.7490E+02
1.6000E+01,4.5747E+02,5.5055E-05,1.0054E+01,4.4741E+02
1.8000E+01,4.2948E+02,5.8500E-07,9.2629E+00,4.2022E+02
2.0000E+01,4.0533E+02,0.0000E+00,8.5940E+00,3.9673E+02
