al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.7714E+06,1.7341E+06,3.2661E+03,3.4004E+04
1.0000E-01,9.3254E+05,9.1448E+05,1.8956E+03,1.6167E+04
2.0000E-01,3.8691E+05,3.7826E+05,9.5323E+02,7.6941E+03
3.0000E-01,1.9952E+05,1.9381E+05,5.8108E+02,5.1312E+03
4.0000E-01,1.1937E+05,1.1496E+05,3.9784E+02,4.0037E+03
5.0000E-01,7.8964E+04,7.5311E+04,2.9697E+02,3.3566E+03
6.0000E-01,5.6754E+04,5.3607E+04,2.3606E+02,2.9114E+03
8.0000E-01,3.5661E+04,3.3150E+04,1.6830E+02,2.3426E+03
1.0000E+00,2.5740E+04,2.3607E+04,1.3238E+02,2.0002E+03
1.5000E+00,1.4434E+04,1.2765E+04,8.7793E+01,1.5811E+03
2.0000E+00,9.3663E+03,7.9218E+03,6.5602E+01,1.3788E+03
2.5000E+00,6.4211E+03,5.1227E+03,5.2040E+01,1.2464E+03
3.0000E+00,4.5351E+03,3.3378E+03,4.3125E+01,1.1542E+03
4.0000E+00,2.5182E+03,1.4471E+03,3.2215E+01,1.0388E+03
5.0000E+00,1.5892E+03,6.0826E+02,2.5777E+01,9.5513E+02
6.0000E+00,1.1631E+03,2.4117E+02,2.1614E+01,9.0032E+02
7.0000E+00,9.6343E+02,9.2083E+01,1.8713E+01,8.5264E+02
8.0000E+00,8.6464E+02,3.3462E+01,1.6583E+01,8.1460E+02
9.0000E+00,8.0708E+02,1.1554E+01,1.4986E+01,7.8054E+02
1.0000E+01,7.6773E+02,3.7859E+00,1.3741E+01,7.5021E+02
1.2000E+01,7.1724E+02,3.1138E-01,1.1904E+01,7.0502E+02
1.4000E+01,6.6549E+02,8.3593E-03,1.0618E+01,6.5487E+02
1.6000E+01,6.2607E+02,6.4143E-05,9.6466E+00,6.1643E+02
1.8000E+01,5.8731E+02,7.0695E-07,8.8402E+00,5.7847E+02
2.0000E+01,5.5385E+02,0.0000E+00,8.1634E+00,5.4569E+02
