al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.6210E+06,1.5988E+06,3.0430E+03,1.9193E+04
1.0000E-01,8.8090E+05,8.6955E+05,1.8354E+03,9.5090E+03
2.0000E-01,4.0208E+05,3.9630E+05,9.9214E+02,4.7878E+03
3.0000E-01,2.2873E+05,2.2476E+05,6.4572E+02,3.3267E+03
4.0000E-01,1.4914E+05,1.4601E+05,4.6552E+02,2.6645E+03
5.0000E-01,1.0593E+05,1.0329E+05,3.6155E+02,2.2761E+03
6.0000E-01,8.0259E+04,7.7956E+04,2.9595E+02,2.0064E+03
8.0000E-01,5.3150E+04,5.1273E+04,2.1849E+02,1.6579E+03
1.0000E+00,3.8988E+04,3.7369E+04,1.7465E+02,1.4440E+03
1.5000E+00,2.1788E+04,2.0497E+04,1.1649E+02,1.1742E+03
2.0000E+00,1.3705E+04,1.2580E+04,8.6334E+01,1.0387E+03
2.5000E+00,9.0039E+03,7.9889E+03,6.7776E+01,9.4714E+02
3.0000E+00,6.0562E+03,5.1184E+03,5.5649E+01,8.8214E+02
4.0000E+00,2.9998E+03,2.1590E+03,4.1034E+01,7.9977E+02
5.0000E+00,1.6639E+03,8.9252E+02,3.2579E+01,7.3883E+02
6.0000E+00,1.0751E+03,3.4938E+02,2.7227E+01,6.9850E+02
7.0000E+00,8.1723E+02,1.3085E+02,2.3554E+01,6.6283E+02
8.0000E+00,7.0119E+02,4.6167E+01,2.0886E+01,6.3414E+02
9.0000E+00,6.4254E+02,1.5374E+01,1.8918E+01,6.0825E+02
1.0000E+01,6.0730E+02,4.8179E+00,1.7402E+01,5.8508E+02
1.2000E+01,5.6603E+02,3.6051E-01,1.5185E+01,5.5049E+02
1.4000E+01,5.2553E+02,8.7362E-03,1.3653E+01,5.1187E+02
1.6000E+01,4.9471E+02,6.7123E-05,1.2500E+01,4.8221E+02
1.8000E+01,4.6445E+02,7.1123E-07,1.1533E+01,4.5292E+02
2.0000E+01,4.3834E+02,0.0000E+00,1.0715E+01,4.2763E+02
