al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,9.6557E+03,8.2924E+03,1.6739E+01,1.3466E+03
1.0000E-01,6.9481E+03,5.6878E+03,1.1911E+01,1.2484E+03
2.0000E-01,4.3961E+03,3.2220E+03,7.0095E+00,1.1671E+03
3.0000E-01,2.8611E+03,1.7392E+03,4.2896E+00,1.1175E+03
4.0000E-01,1.9802E+03,9.0643E+02,2.7658E+00,1.0710E+03
5.0000E-01,1.5078E+03,4.7312E+02,1.9013E+00,1.0328E+03
6.0000E-01,1.2641E+03,2.6139E+02,1.3876E+00,1.0013E+03
8.0000E-01,1.0580E+03,1.0947E+02,8.5437E-01,9.4771E+02
1.0000E+00,9.6445E+02,6.0186E+01,6.0625E-01,9.0366E+02
1.5000E+00,8.3974E+02,2.1116E+01,3.6176E-01,8.1826E+02
2.0000E+00,7.6190E+02,1.0549E+01,2.6673E-01,7.5108E+02
2.5000E+00,7.0844E+02,6.4425E+00,2.1532E-01,7.0178E+02
3.0000E+00,6.6801E+02,4.4001E+00,1.8323E-01,6.6343E+02
4.0000E+00,6.0858E+02,2.1793E+00,1.4348E-01,6.0625E+02
5.0000E+00,5.6569E+02,9.6717E-01,1.1847E-01,5.6460E+02
6.0000E+00,5.3722E+02,3.6842E-01,1.0121E-01,5.3676E+02
7.0000E+00,5.1262E+02,1.0335E-01,8.8676E-02,5.1243E+02
8.0000E+00,4.9253E+02,1.9457E-02,7.9134E-02,4.9243E+02
9.0000E+00,4.7692E+02,7.2752E-04,7.1759E-02,4.7684E+02
1.0000E+01,4.5981E+02,1.5253E-05,6.5864E-02,4.5975E+02
1.2000E+01,4.3211E+02,0.0000E+00,5.6811E-02,4.3206E+02
1.4000E+01,4.0434E+02,0.0000E+00,5.0162E-02,4.0429E+02
1.6000E+01,3.8046E+02,0.0000E+00,4.4996E-02,3.8042E+02
1.8000E+01,3.6107E+02,0.0000E+00,4.0671E-02,3.6103E+02
2.0000E+01,3.4191E+02,0.0000E+00,3.7042E-02,3.4187E+02
