'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:03:01'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.7189E+06, 1.6893E+06, 3.1974E+03, 2.6406E+04
 1.0000E-01, 9.1724E+05, 9.0273E+05, 1.8891E+03, 1.2615E+04
 2.0000E-01, 3.9878E+05, 3.9166E+05, 9.8475E+02, 6.1268E+03
 3.0000E-01, 2.1659E+05, 2.1179E+05, 6.2154E+02, 4.1720E+03
 4.0000E-01, 1.3602E+05, 1.3228E+05, 4.3802E+02, 3.3013E+03
 5.0000E-01, 9.3885E+04, 9.0754E+04, 3.3460E+02, 2.7963E+03
 6.0000E-01, 6.9758E+04, 6.7040E+04, 2.7073E+02, 2.4472E+03
 8.0000E-01, 4.5456E+04, 4.3260E+04, 1.9740E+02, 1.9985E+03
 1.0000E+00, 3.3271E+04, 3.1388E+04, 1.5709E+02, 1.7256E+03
 1.5000E+00, 1.8747E+04, 1.7256E+04, 1.0498E+02, 1.3859E+03
 2.0000E+00, 1.2021E+04, 1.0724E+04, 7.8296E+01, 1.2182E+03
 2.5000E+00, 8.0847E+03, 6.9165E+03, 6.1840E+01, 1.1064E+03
 3.0000E+00, 5.5720E+03, 4.4933E+03, 5.1019E+01, 1.0277E+03
 4.0000E+00, 2.9061E+03, 1.9396E+03, 3.7849E+01, 9.2868E+02
 5.0000E+00, 1.7029E+03, 8.1649E+02, 3.0145E+01, 8.5622E+02
 6.0000E+00, 1.1590E+03, 3.2523E+02, 2.5216E+01, 8.0855E+02
 7.0000E+00, 9.1286E+02, 1.2434E+02, 2.1810E+01, 7.6671E+02
 8.0000E+00, 7.9753E+02, 4.5033E+01, 1.9325E+01, 7.3318E+02
 9.0000E+00, 7.3597E+02, 1.5466E+01, 1.7480E+01, 7.0302E+02
 1.0000E+01, 6.9716E+02, 5.0176E+00, 1.6051E+01, 6.7609E+02
 1.2000E+01, 6.5029E+02, 4.0559E-01, 1.3959E+01, 6.3592E+02
 1.4000E+01, 6.0360E+02, 1.0244E-02, 1.2508E+01, 5.9109E+02
 1.6000E+01, 5.6805E+02, 7.8761E-05, 1.1417E+01, 5.5663E+02
 1.8000E+01, 5.3308E+02, 8.4199E-07, 1.0508E+01, 5.2258E+02
 2.0000E+01, 5.0290E+02, 0.0000E+00, 9.7419E+00, 4.9316E+02
'End of File'
