'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:18:08'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.5019E+03, 6.8101E+02, 1.4143E+00, 8.1945E+02
 1.0000E-01, 1.2601E+03, 5.1140E+02, 1.1063E+00, 7.4756E+02
 2.0000E-01, 1.0376E+03, 3.3765E+02, 7.3835E-01, 6.9921E+02
 3.0000E-01, 8.8939E+02, 2.1041E+02, 4.9666E-01, 6.7848E+02
 4.0000E-01, 7.7937E+02, 1.2660E+02, 3.4544E-01, 6.5243E+02
 5.0000E-01, 7.0392E+02, 7.6891E+01, 2.5296E-01, 6.2678E+02
 6.0000E-01, 6.5434E+02, 4.9554E+01, 1.9452E-01, 6.0459E+02
 8.0000E-01, 5.9172E+02, 2.6374E+01, 1.2884E-01, 5.6521E+02
 1.0000E+00, 5.4807E+02, 1.6936E+01, 9.5469E-02, 5.3104E+02
 1.5000E+00, 4.6844E+02, 7.6669E+00, 5.9390E-02, 4.6072E+02
 2.0000E+00, 4.1063E+02, 4.5445E+00, 4.4181E-02, 4.0604E+02
 2.5000E+00, 3.7064E+02, 3.1482E+00, 3.5674E-02, 3.6746E+02
 3.0000E+00, 3.4073E+02, 2.3668E+00, 3.0225E-02, 3.3833E+02
 4.0000E+00, 2.9755E+02, 1.3583E+00, 2.3407E-02, 2.9617E+02
 5.0000E+00, 2.6747E+02, 6.9817E-01, 1.9142E-02, 2.6675E+02
 6.0000E+00, 2.4782E+02, 3.0690E-01, 1.6243E-02, 2.4750E+02
 7.0000E+00, 2.3164E+02, 9.6821E-02, 1.4151E-02, 2.3153E+02
 8.0000E+00, 2.1880E+02, 1.9593E-02, 1.2560E-02, 2.1877E+02
 9.0000E+00, 2.0886E+02, 7.5053E-04, 1.1351E-02, 2.0885E+02
 1.0000E+01, 1.9844E+02, 1.5757E-05, 1.0419E-02, 1.9843E+02
 1.2000E+01, 1.8178E+02, 0.0000E+00, 9.0298E-03, 1.8177E+02
 1.4000E+01, 1.6630E+02, 0.0000E+00, 8.0540E-03, 1.6629E+02
 1.6000E+01, 1.5372E+02, 0.0000E+00, 7.3431E-03, 1.5371E+02
 1.8000E+01, 1.4390E+02, 0.0000E+00, 6.7522E-03, 1.4389E+02
 2.0000E+01, 1.3461E+02, 0.0000E+00, 6.2366E-03, 1.3460E+02
'End of File'
