'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 14:58:48'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 6.2633E+05, 6.2211E+05, 1.1916E+03, 3.0274E+03
 1.0000E-01, 3.5975E+05, 3.5616E+05, 7.2640E+02, 2.8612E+03
 2.0000E-01, 1.5840E+05, 1.5532E+05, 3.6624E+02, 2.7143E+03
 3.0000E-01, 7.6444E+04, 7.3635E+04, 2.0999E+02, 2.5993E+03
 4.0000E-01, 3.9322E+04, 3.6713E+04, 1.3235E+02, 2.4758E+03
 5.0000E-01, 2.1454E+04, 1.8994E+04, 9.0726E+01, 2.3692E+03
 6.0000E-01, 1.2858E+04, 1.0508E+04, 6.6722E+01, 2.2834E+03
 8.0000E-01, 6.7378E+03, 4.5452E+03, 4.2285E+01, 2.1503E+03
 1.0000E+00, 4.7086E+03, 2.6219E+03, 3.0894E+01, 2.0558E+03
 1.5000E+00, 2.9205E+03, 9.9966E+02, 1.9160E+01, 1.9017E+03
 2.0000E+00, 2.3155E+03, 5.1765E+02, 1.4272E+01, 1.7836E+03
 2.5000E+00, 2.0134E+03, 3.1027E+02, 1.1505E+01, 1.6916E+03
 3.0000E+00, 1.8247E+03, 1.9698E+02, 9.7311E+00, 1.6180E+03
 4.0000E+00, 1.5990E+03, 8.2522E+01, 7.5283E+00, 1.5090E+03
 5.0000E+00, 1.4613E+03, 2.6978E+01, 6.1697E+00, 1.4281E+03
 6.0000E+00, 1.3830E+03, 5.6418E+00, 5.2439E+00, 1.3721E+03
 7.0000E+00, 1.3233E+03, 7.9690E-01, 4.5778E+00, 1.3179E+03
 8.0000E+00, 1.2749E+03, 8.5784E-02, 4.0748E+00, 1.2708E+03
 9.0000E+00, 1.2370E+03, 4.5330E-03, 3.6831E+00, 1.2333E+03
 1.0000E+01, 1.1955E+03, 1.1096E-04, 3.3678E+00, 1.1922E+03
 1.2000E+01, 1.1302E+03, 4.7694E-08, 2.8864E+00, 1.1273E+03
 1.4000E+01, 1.0645E+03, 0.0000E+00, 2.5331E+00, 1.0620E+03
 1.6000E+01, 1.0071E+03, 0.0000E+00, 2.2580E+00, 1.0049E+03
 1.8000E+01, 9.5900E+02, 0.0000E+00, 2.0296E+00, 9.5697E+02
 2.0000E+01, 9.0931E+02, 0.0000E+00, 1.8397E+00, 9.0747E+02
'End of File'
