'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:16:53'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.0885E+05, 1.0669E+05, 2.0840E+02, 1.9551E+03
 1.0000E-01, 6.7768E+04, 6.5771E+04, 1.3494E+02, 1.8618E+03
 2.0000E-01, 3.3603E+04, 3.1773E+04, 7.2103E+01, 1.7580E+03
 3.0000E-01, 1.7481E+04, 1.5766E+04, 4.2251E+01, 1.6725E+03
 4.0000E-01, 9.5558E+03, 7.9239E+03, 2.6761E+01, 1.6051E+03
 5.0000E-01, 5.6342E+03, 4.0601E+03, 1.8300E+01, 1.5558E+03
 6.0000E-01, 3.7412E+03, 2.2145E+03, 1.3382E+01, 1.5133E+03
 8.0000E-01, 2.3853E+03, 9.3858E+02, 8.3649E+00, 1.4383E+03
 1.0000E+00, 1.9203E+03, 5.3514E+02, 6.0418E+00, 1.3791E+03
 1.5000E+00, 1.4794E+03, 1.9934E+02, 3.6974E+00, 1.2764E+03
 2.0000E+00, 1.3005E+03, 1.0060E+02, 2.7454E+00, 1.1972E+03
 2.5000E+00, 1.1980E+03, 5.9190E+01, 2.2139E+00, 1.1366E+03
 3.0000E+00, 1.1276E+03, 3.7406E+01, 1.8759E+00, 1.0884E+03
 4.0000E+00, 1.0335E+03, 1.5909E+01, 1.4568E+00, 1.0161E+03
 5.0000E+00, 9.6857E+02, 5.4255E+00, 1.1967E+00, 9.6195E+02
 6.0000E+00, 9.2682E+02, 1.2822E+00, 1.0189E+00, 9.2452E+02
 7.0000E+00, 8.9002E+02, 2.0222E-01, 8.9081E-01, 8.8893E+02
 8.0000E+00, 8.5904E+02, 2.1897E-02, 7.9405E-01, 8.5822E+02
 9.0000E+00, 8.3459E+02, 6.6403E-04, 7.1893E-01, 8.3387E+02
 1.0000E+01, 8.0758E+02, 1.3667E-05, 6.5854E-01, 8.0692E+02
 1.2000E+01, 7.6451E+02, 0.0000E+00, 5.6606E-01, 7.6395E+02
 1.4000E+01, 7.2079E+02, 0.0000E+00, 4.9806E-01, 7.2030E+02
 1.6000E+01, 6.8260E+02, 0.0000E+00, 4.4495E-01, 6.8216E+02
 1.8000E+01, 6.5090E+02, 0.0000E+00, 4.0063E-01, 6.5050E+02
 2.0000E+01, 6.1857E+02, 0.0000E+00, 3.6367E-01, 6.1821E+02
'End of File'
